symbol,period,actual,estimate,surprise,surprisePercent
CZR,2023-03-31,-0.63,-0.0063,-0.6237,-9900.0
CZR,2022-12-31,-0.7,-0.1712,-0.5288,-308.8785
CZR,2022-09-30,0.24,0.1461,0.0939,64.271
CZR,2022-06-30,-0.57,0.1729,-0.7429,-429.6703
CZR,2022-03-31,-3.18,-2.2334,-0.9466,-42.3838
CZR,2021-12-31,-2.03,-0.9307,-1.0993,-118.1154
DG,2024-03-31,2.34,2.4521,-0.1121,-4.5716
DG,2023-12-31,2.96,3.0541,-0.0941,-3.0811
DG,2023-09-30,2.33,2.6111,-0.2811,-10.7656
DG,2023-06-30,2.98,3.0227,-0.0427,-1.4126
DG,2023-03-31,2.41,2.3813,0.0287,1.2052
DG,2022-12-31,2.57,2.6432,-0.0732,-2.7694
DG,2022-09-30,2.08,2.0725,0.0075,0.3619
DIS,2023-06-30,0.93,0.94,-0.01,-1.0638
DIS,2023-03-31,0.99,0.7924,0.1976,24.9369
DIS,2022-12-31,0.3,0.5541,-0.2541,-45.8581
DIS,2022-09-30,1.09,0.973,0.117,12.0247
DIS,2022-06-30,1.08,1.1984,-0.1184,-9.8798
DISH,2023-03-31,0.35,0.3633,-0.0133,-3.6609
DISH,2022-12-31,1.47,0.4828,0.9872,204.4739
DISH,2022-09-30,0.65,0.5732,0.0768,13.3985
DISH,2022-06-30,0.82,0.6532,0.1668,25.5358
DISH,2022-03-31,0.68,0.7625,-0.0825,-10.8197
DISH,2021-12-31,0.86,0.8877,-0.0277,-3.1204
DKNG,2023-03-31,-0.51,-0.9047,0.3947,43.6277
DKNG,2022-12-31,-0.53,-0.6022,0.0722,11.9894
DKNG,2022-09-30,-1.0,-1.0602,0.0602,5.6782
DKNG,2022-06-30,-0.5,-0.8653,0.3653,42.2166
DKNG,2022-03-31,-0.74,-1.1955,0.4555,38.1012
EA,2023-12-31,1.78,1.354,0.426,31.4623
EA,2023-09-30,2.8,3.141,-0.341,-10.8564
EA,2023-06-30,1.45,1.4094,0.0406,2.8807
EA,2023-03-31,0.47,0.2917,0.1783,61.1244
EA,2022-12-31,1.46,1.4736,-0.0136,-0.9229
EA,2022-09-30,3.2,3.3122,-0.1122,-3.3875
EFX,2023-06-30,1.71,1.6823,0.0277,1.6466
EFX,2023-03-31,1.43,1.3802,0.0498,3.6082
EFX,2022-12-31,1.52,1.5023,0.0177,1.1782
EFX,2022-09-30,1.73,1.6416,0.0884,5.385
EFX,2022-06-30,2.09,2.0218,0.0682,3.3732
EFX,2022-03-31,2.22,2.1619,0.0581,2.6875
