symbol,year,month,change,mspr
AMD,2012,5,247318,24.599651
AMD,2012,4,-2500,-100.0
AMD,2012,3,-1562,-4.4074492
AMD,2012,2,-44082,-40.458534
AMD,2012,1,-3522,-17.811268
AMD,2011,11,706609,79.392395
AMD,2011,10,-1000,-100.0
AMD,2011,9,-1000,-2.9129043
AMD,2011,8,3643416,89.2725
AMD,2011,7,-1000,-100.0
AMD,2011,6,2299615,99.9131
AMD,2011,5,203488,19.308937
AMD,2011,4,-141474,-36.664402
AMD,2011,3,15593,88.63184
AMD,2011,3,-1000,-2.925174
AMD,2011,2,11000,5.6282105
AMD,2011,2,182278,33.191784
AMD,2011,1,458762,48.041126
AMD,2011,1,-237742,-14.217914
AMD,2010,12,-1000,-100.0
AMD,2010,11,21861,19.61173
AMD,2010,11,312231,44.800205
AMD,2010,10,-153595,-43.825558
AMD,2010,9,0,0.0
AMD,2010,8,185962,10.582847
AMD,2010,5,1095427,47.323177
AMD,2010,4,0,0.0
AMD,2010,3,16593,100.0
AMD,2010,2,36123,23.61212
AMZN,2023,3,-432702,-100.0
AMZN,2023,2,-9600,-100.0
AMZN,2023,2,-321471,-81.279915
AMZN,2022,11,-345,-100.0
AMZN,2022,11,-3589359,-92.7349
AMZN,2022,10,-1020,-100.0
AMZN,2022,9,20217,83.2078
AMZN,2022,8,-1067184,-80.61374
AMZN,2022,5,-77553,-76.50866
AMZN,2022,4,28895,100.0
AMZN,2022,3,-5282,-100.0
AMZN,2022,3,-5033,-88.78109
AMZN,2022,2,-29332,-65.719666
AMZN,2022,2,-36982,-70.73563
AMZN,2022,1,-69,-100.0
AMZN,2021,12,-100878,-100.0
AMZN,2021,11,-1075240,-98.5076
AMZN,2021,11,-1083100,-98.46722
AMZN,2021,10,0,0.0
AMZN,2021,8,-14018,-48.45489
AMZN,2021,8,-17327,-53.745464
AMZN,2021,7,-243,-100.0
AMZN,2021,7,76757,99.37082
AMZN,2021,2,-10345,-44.596283
AMZN,2021,1,-314,-100.0
AMZN,2020,12,-33421,-87.70765
AMZN,2020,11,-1230269,-97.165596
AMZN,2020,10,100,4.347826
AMZN,2020,9,-1460,-100.0
AMZN,2020,8,-1019430,-98.277824
